Statistics Type on NE	Statistics Type and Statistics Counters desription	Statistics Counter on NE	Counter Name in XML	IMS element 	comment
	Signalling unit, receiver request, successful	CV_SuRecReqSucc = 2	IT.AON.SuRecReqSucc	MGCF, RGCF	
	Signalling unit, receiver traffic	CV_SuRecTraffic = 3	IT.AON.SuRecTraffic	MGCF, RGCF	
	Signalling unit, generator request	CV_SuGenReq = 4	IT.AON.SuGenReq	MGCF, RGCF	
	Signaling unit, generator request, successful	CV_SuGenReqSucc = 5	IT.AON.SuGenReqSucc	MGCF, RGCF	
	Signalling unit, generator traffic	CV_SuGenTraffic = 6	IT.AON.SuGenTraffic	MGCF, RGCF	
CV_StstR1 = 7	R1 signaling units Statistics				
	Signalling unit, receiver request	CV_SuRecReq = 1	IT.R1.SuRecReq	MGCF, RGCF	
	Signalling unit, receiver request, successful	CV_SuRecReqSucc = 2	IT.R1.SuRecReqSucc	MGCF, RGCF	
	Signalling unit, receiver traffic	CV_SuRecTraffic = 3	IT.R1.SuRecTraffic	MGCF, RGCF	
	Signalling unit, generator request	CV_SuGenReq = 4	IT.R1.SuGenReq	MGCF, RGCF	
	Signaling unit, generator request, successful	CV_SuGenReqSucc = 5	IT.R1.SuGenReqSucc	MGCF, RGCF	
	Signalling unit, generator traffic	CV_SuGenTraffic = 6	IT.R1.SuGenTraffic	MGCF, RGCF	
CV_CTXStstGrp = 18	Centrex group Statistics				
	CTX originating call attempt	CV_CTXOrgCallAtt = 1	IT.CTXOrgCallAtt	TAS	
	CTX originating external call	CV_CTXOrgExt = 2	IT.CTXOrgExt	TAS	
	CTX originating remote internal call	CV_CTXOrgRemIntCall = 3	IT.CTXOrgRemIntCall	TAS	
	CTX originating call incomplete dialling	CV_CTXOrgIncmpl = 4	IT.CTXOrgIncmpl	TAS	
	CTX originating external call incomplete dialling	CV_CTXOrgExtIncmpl = 5	IT .CTXOrgExtIncmpl	TAS	
	CTX originating call wrong number	CV_CTXOrgWrongDN = 6	IT.CTXOrgWrongDN	TAS	
	CTX originating external call wrong number 	CV_CTXOrgExtWrongDN = 7	IT.CTXOrgExtWrongDN	TAS	
	CTX originating unsuccessful call, barring and centrex restrictions	CV_CTXOrgRstrUnsucc = 8	IT. CTXOrgRstrUnsucc	TAS	
	CTX originating unsuccessful call, other reason	CV_CTXOrgUnsucc = 9	IT.CTXOrgUnsuccOther	TAS	
	CTX originating external unsuccessful call, other reason	CV_CTXOrgExtUnsucc = 10	IT.CTXOrgExtUnsucc Other	TAS	
	CTX originating call, called user busy	CV_CTXOrgTermBusy = 11	IT.CTXOrgTermBusy	TAS	
	CTX originating external call, called user busy	CV_CTXOrgExtTermBusy = 12	IT.CTXOrgExtTermBusy	TAS	
	CTX originating call, called user free, no answer	CV_CTXOrgTermNoAnswer = 13	IT.CTXOrgTermNoAnswer	TAS	
	CTX originating external call, called user free, no answer	CV_CTXOrgExtTermNoAnswer = 14	IT.CTXOrgExtTermNoAnswer	TAS	
	CTX originating call, called user answer	CV_CTXOrgAnswer = 15	IT.CTXOrgAnswer	TAS	
	CTX originating external call, called user answer	CV_CTXOrgExtAnswer = 16	IT. CTXOrgExtAnswer	TAS	
	CTX terminating call attempt	CV_CTXTermCallAtt = 17	IT.CTXTermCallAtt	TAS	
	CTX terminating external call attempt	CV_CTXTermExt = 18	IT.CTXTermExt 	TAS	
	CTX terminating remote internal call attempt	CV_CTXTermRemIntCall = 21	IT.CTXTermRemIntCall	TAS	
	CTX terminating unsuccessful call, barring and centrex restrictions	CV_CTXTermRstrUnsucc = 22	IT.CTXTermRstrUnsucc	TAS	
	CTX terminating unsuccessful call, other reason	CV_CTXTermUnsucc = 23	IT.CTXTermUnsuccOther	TAS	
	CTX terminating external unsuccessful call, other reason	CV_CTXTermExtUnsucc = 24	IT.CTXTermExtUnsuccOther	TAS	
	CTX terminating call, called user busy	CV_CTXTermTermBusy = 25	IT.CTXTermTermBusy	TAS	
	CTX terminating external call, called user busy	CV_CTXTermExtTermBusy = 26	IT.CTXTermExtTermBusy	TAS	
	CTX terminating call, called user free, no answer	CV_CTXTermTermNoAnswer = 27	IT.CTXTermTermNoAnswer	TAS	
	CTX terminating external call, called user free, no answer	CV_CTXTermExtTermNoAnswer = 28	IT.CTXTermExtTermNoAnswer	TAS	
	CTX terminating call, called user answer	CV_CTXTermAnswer = 29	IT.CTXTermAnswer	TAS	
	CTX terminating external call, called user answer	CV_CTXTermExtAnswer = 30	IT.CTXTermExtAnswer 	TAS	
CV_PfxStstGrp = 19	Prefix Statistics				
	Dialled prefix	CV_PfxCallAtt = 1	IT.PfxCallAtt	BGCF, MGCF, RGCF	
	Dialled prefix, incoming call	CV_PfxIncCall = 2			števec v IMS ni smiselen
	Dialled prefix, subscriber busy	CV_PfxTermBusy = 9	IT.PfxTermBusy	BGCF, MGCF, RGCF	
	Dialled prefix, subscriber busy, incoming call	CV_PfxIncTermBusy = 10			števec v IMS ni smiselen
